ParticipantID,Age,Location,DietType,LocalFoodFrequency,TransportationMode,EnergySource,HomeType,HomeSize,ClothingFrequency,SustainableBrands,EnvironmentalAwareness,CommunityInvolvement,MonthlyElectricityConsumption,MonthlyWaterConsumption,Gender,UsingPlasticProducts,DisposalMethods,PhysicalActivities,Rating
1,35,Urban,Mostly Plant-Based,Often,Bike,Renewable,Apartment,800,Rarely,True,5,High,100,1500,Female,Rarely,Composting,High,5
2,28,Suburban,Balanced,Sometimes,Public Transit,Mixed,House,1500,Sometimes,True,4,Moderate,250,3000,Male,Sometimes,Recycling,Moderate,4
3,65,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,House,2500,Often,False,2,Low,400,4500,Male,Often,Landfill,Low,1
4,42,Urban,Mostly Plant-Based,Often,Walk,Renewable,Apartment,950,Sometimes,True,4,Moderate,150,2000,Female,Rarely,Recycling,High,5
5,31,Suburban,Balanced,Sometimes,Public Transit,Mixed,House,1800,Often,True,3,Low,300,3500,Non-Binary,Sometimes,Combination,Moderate,3
6,58,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,House,2200,Always,False,1,None,450,5000,Male,Often,Landfill,None,1
7,25,Urban,Mostly Plant-Based,Always,Bike,Renewable,Other,600,Rarely,True,5,High,80,1200,Female,Never,Composting,High,5
8,39,Suburban,Balanced,Often,Public Transit,Renewable,House,1600,Sometimes,True,4,Moderate,200,2800,Female,Sometimes,Recycling,Moderate,4
9,52,Rural,Mostly Plant-Based,Sometimes,Walk,Mixed,House,2000,Often,True,3,Low,350,4000,Male,Rarely,Combination,Low,3
10,29,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Apartment,1100,Always,False,2,None,380,4200,Non-Binary,Often,Landfill,None,1
11,48,Suburban,Mostly Plant-Based,Often,Bike,Renewable,House,1400,Sometimes,True,5,High,120,1800,Male,Rarely,Composting,High,5
12,36,Urban,Balanced,Sometimes,Public Transit,Mixed,Apartment,900,Often,False,3,Low,280,3200,Female,Sometimes,Recycling,Moderate,3
13,61,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,Other,750,Always,False,1,None,420,4800,Male,Often,Landfill,None,1
14,27,Urban,Mostly Plant-Based,Always,Walk,Renewable,House,1300,Rarely,True,4,Moderate,160,2200,Female,Never,Composting,High,5
15,44,Suburban,Balanced,Often,Public Transit,Renewable,Apartment,1050,Sometimes,True,4,Moderate,220,3000,Prefer not to say,Sometimes,Recycling,Moderate,4
16,59,Rural,Mostly Plant-Based,Sometimes,Bike,Mixed,House,1900,Often,True,3,Low,320,3800,Female,Rarely,Combination,Low,3
17,32,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Other,650,Always,False,2,None,400,4600,Male,Often,Landfill,None,1
18,50,Suburban,Mostly Plant-Based,Often,Walk,Renewable,House,1550,Rarely,True,5,High,130,1900,Female,Never,Composting,High,5
19,24,Urban,Balanced,Sometimes,Public Transit,Mixed,Apartment,850,Often,True,3,Moderate,260,3100,Male,Sometimes,Recycling,Moderate,3
20,63,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,House,2400,Always,False,1,None,480,5200,Non-Binary,Often,Landfill,None,1
21,41,Urban,Mostly Plant-Based,Always,Bike,Renewable,House,1200,Rarely,True,5,High,90,1400,Female,Never,Composting,High,5
22,30,Suburban,Balanced,Often,Public Transit,Mixed,Apartment,1000,Sometimes,False,3,Low,290,3400,Male,Sometimes,Recycling,Moderate,3
23,57,Rural,Mostly Plant-Based,Sometimes,Walk,Renewable,Other,700,Often,True,4,Moderate,180,2600,Male,Rarely,Combination,Moderate,4
24,26,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Apartment,1150,Always,False,2,None,360,4100,Non-Binary,Often,Landfill,None,1
25,49,Suburban,Mostly Plant-Based,Often,Walk,Renewable,House,1450,Sometimes,True,4,Moderate,170,2100,Female,Rarely,Recycling,High,5
26,37,Urban,Balanced,Sometimes,Public Transit,Mixed,Other,680,Often,False,3,Low,270,3300,Prefer not to say,Sometimes,Combination,Moderate,3
27,62,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,House,2300,Always,False,1,None,460,5100,Female,Often,Landfill,None,1
28,22,Urban,Mostly Plant-Based,Always,Bike,Renewable,Apartment,880,Rarely,True,5,High,110,1600,Male,Never,Composting,High,5
29,40,Suburban,Balanced,Often,Public Transit,Renewable,House,1700,Sometimes,True,4,Moderate,210,2900,Female,Sometimes,Recycling,Moderate,4
30,53,Rural,Mostly Plant-Based,Sometimes,Walk,Mixed,Other,720,Often,True,3,Low,340,3900,Male,Rarely,Combination,Low,3
31,33,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,House,2100,Always,False,2,None,390,4300,Non-Binary,Often,Landfill,None,1
32,45,Suburban,Mostly Plant-Based,Often,Walk,Renewable,Apartment,980,Rarely,True,4,High,140,1950,Female,Never,Composting,High,5
33,28,Urban,Balanced,Sometimes,Public Transit,Mixed,House,1550,Often,True,3,Low,310,3600,Male,Sometimes,Recycling,Moderate,3
34,60,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,Other,780,Always,False,1,None,430,4900,Male,Often,Landfill,None,1
35,24,Urban,Mostly Plant-Based,Always,Bike,Renewable,House,1250,Rarely,True,5,High,100,1550,Female,Never,Composting,High,5
36,41,Suburban,Balanced,Often,Public Transit,Renewable,Apartment,1080,Sometimes,True,4,Moderate,230,3100,Prefer not to say,Sometimes,Recycling,Moderate,3
37,62,Rural,Mostly Plant-Based,Sometimes,Bike,Mixed,House,1950,Often,True,3,Moderate,330,3900,Female,Rarely,Combination,Low,3
38,33,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Other,670,Always,False,2,None,410,4700,Male,Often,Landfill,None,1
39,46,Suburban,Mostly Plant-Based,Often,Walk,Renewable,House,1500,Rarely,True,4,High,150,2000,Male,Never,Composting,High,5
40,29,Urban,Balanced,Sometimes,Public Transit,Mixed,Apartment,920,Often,True,3,Low,270,3300,Female,Sometimes,Recycling,Moderate,3
41,56,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,House,2350,Always,False,1,None,470,5200,Non-Binary,Often,Landfill,None,1
42,23,Urban,Mostly Plant-Based,Always,Bike,Renewable,Other,620,Rarely,True,5,High,90,1300,Female,Never,Composting,High,5
43,40,Suburban,Balanced,Often,Public Transit,Renewable,House,1650,Sometimes,True,4,Moderate,220,2900,Female,Sometimes,Recycling,Moderate,4
44,53,Rural,Mostly Plant-Based,Sometimes,Walk,Mixed,House,1980,Often,True,3,Moderate,360,4100,Male,Rarely,Combination,Moderate,4
45,30,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Apartment,1130,Always,False,2,None,370,4200,Male,Often,Landfill,None,1
46,47,Suburban,Mostly Plant-Based,Often,Walk,Renewable,House,1480,Sometimes,True,4,High,160,2100,Prefer not to say,Rarely,Recycling,High,5
47,38,Urban,Balanced,Sometimes,Public Transit,Mixed,Other,690,Often,False,3,Low,280,3400,Female,Sometimes,Combination,Moderate,3
48,63,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,House,2250,Always,False,1,None,440,5000,Male,Often,Landfill,None,1
49,21,Urban,Mostly Plant-Based,Always,Bike,Renewable,Apartment,900,Rarely,True,5,High,100,1400,Female,Never,Composting,High,5
50,39,Suburban,Balanced,Often,Public Transit,Renewable,House,1750,Sometimes,True,4,Moderate,230,3000,Male,Sometimes,Recycling,Moderate,4
51,54,Rural,Mostly Plant-Based,Sometimes,Walk,Mixed,Other,730,Often,True,3,Low,350,4050,Male,Rarely,Combination,Low,3
52,34,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,House,2050,Always,False,2,None,380,4300,Non-Binary,Often,Landfill,None,1
53,45,Suburban,Mostly Plant-Based,Often,Bike,Renewable,House,1350,Rarely,True,5,High,130,1850,Female,Never,Composting,High,5
54,28,Urban,Balanced,Sometimes,Public Transit,Mixed,Apartment,950,Often,True,3,Moderate,290,3450,Male,Sometimes,Recycling,Moderate,3
55,60,Rural,Mostly Plant-Based,Often,Walk,Renewable,House,1800,Sometimes,True,4,High,200,2800,Female,Rarely,Recycling,High,5
56,24,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Apartment,1100,Often,False,2,None,370,4200,Male,Often,Landfill,None,1
57,41,Suburban,Balanced,Sometimes,Bike,Mixed,House,1450,Sometimes,True,3,Low,320,3700,Non-Binary,Rarely,Combination,Moderate,3
58,57,Rural,Mostly Plant-Based,Often,Walk,Renewable,Other,700,Rarely,True,4,Moderate,170,2500,Male,Never,Composting,High,5
59,32,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,House,2200,Often,False,2,None,410,4700,Male,Often,Landfill,None,1
60,49,Suburban,Mostly Plant-Based,Often,Public Transit,Renewable,Apartment,1020,Sometimes,True,4,High,180,2300,Female,Rarely,Recycling,High,5
61,36,Urban,Balanced,Sometimes,Bike,Mixed,House,1500,Sometimes,True,3,Moderate,280,3400,Prefer not to say,Rarely,Combination,Moderate,3
62,61,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,Other,760,Often,False,1,None,450,5000,Female,Often,Landfill,None,1
63,27,Urban,Mostly Plant-Based,Always,Walk,Renewable,House,1280,Rarely,True,5,High,110,1600,Male,Never,Composting,High,5
64,44,Suburban,Balanced,Often,Public Transit,Renewable,Apartment,1070,Sometimes,True,4,Moderate,240,3100,Female,Sometimes,Recycling,Moderate,4
65,58,Rural,Mostly Plant-Based,Sometimes,Bike,Mixed,House,1850,Often,True,3,Low,330,3900,Male,Rarely,Combination,Low,3
66,31,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Other,660,Always,False,2,None,390,4400,Non-Binary,Often,Landfill,None,1
67,48,Suburban,Mostly Plant-Based,Often,Walk,Renewable,House,1420,Sometimes,True,4,High,150,2050,Male,Never,Composting,High,5
68,35,Urban,Balanced,Sometimes,Public Transit,Mixed,Apartment,930,Often,False,3,Low,290,3500,Female,Sometimes,Recycling,Moderate,3
69,62,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,House,2320,Always,False,1,None,460,5100,Male,Often,Landfill,None,1
70,22,Urban,Mostly Plant-Based,Always,Bike,Renewable,Other,610,Rarely,True,5,High,95,1350,Female,Never,Composting,High,5
